cash,price_AAPL,price_AMZN,price_F,price_JPM,price_MSFT,price_NVDA,price_PG,price_SPY,price_UNH,price_XOM,shares_AAPL,shares_AMZN,shares_F,shares_JPM,shares_MSFT,shares_NVDA,shares_PG,shares_SPY,shares_UNH,shares_XOM,reward
5000.0,40.341888427734375,59.45050048828125,8.263116836547852,86.73035430908203,79.05037689208984,4.928534507751465,73.34202575683594,237.9090881347656,194.59158325195312,58.970890045166016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5000.0,40.33486175537109,60.209999084472656,8.328386306762695,86.8187255859375,79.41827392578125,5.252898693084717,73.25304412841797,239.4139862060547,196.6329040527344,60.12906646728516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5000.0,40.522216796875,60.47949981689453,8.471979141235352,88.06243896484375,80.11727142333984,5.280588150024414,73.77085876464844,240.4230499267578,197.48638916015625,60.212310791015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5000.0,40.98357391357422,61.45700073242188,8.615571022033691,87.49712371826172,81.1105728149414,5.325336456298828,73.81938934326172,242.02520751953125,201.252182006836,60.163761138916016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5000.0,40.83134841918945,62.34349822998047,8.582939147949219,87.62633514404297,81.19334411621094,5.488510608673096,74.20775604248047,242.46783447265625,197.7591552734375,60.43421936035156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5000.0,40.826656341552734,62.6349983215332,8.537247657775879,88.07056427001953,81.13813781738281,5.487024307250977,73.6656723022461,243.01661682128903,198.7445678710937,60.17762756347656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5000.0,40.81730270385742,62.71649932861328,8.504613876342773,89.03968048095703,80.7702865600586,5.530043601989746,73.19639587402344,242.6448516845703,197.26638793945312,59.699100494384766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5000.0,41.04914093017578,63.83399963378906,8.589463233947754,89.51615905761719,81.0093994140625,5.539933681488037,72.93753051757812,244.41519165039065,198.3134307861328,60.28857803344727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5000.0,41.47303009033203,65.26000213623047,8.635151863098145,90.9940948486328,82.40737915039062,5.512737274169922,72.50062561035156,246.0086212158203,201.1729888916016,60.6977653503418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5000.0,41.26226425170898,65.24299621582031,8.55030345916748,90.67105865478516,81.25772857666016,5.441781997680664,72.99413299560547,245.1676483154297,204.9212188720703,60.31634140014648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5000.0,41.943756103515625,64.75,7.949821949005127,91.2525405883789,82.9040298461914,5.555756568908691,73.7870101928711,247.5045166015625,209.786865234375,61.03065490722656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5000.0,41.981231689453125,64.66600036621094,7.87802791595459,91.47061157226562,82.8672103881836,5.548834323883057,73.51800537109375,247.08843994140625,213.9487152099609,60.635345458984375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5000.0,41.79387664794922,64.72899627685547,7.832338333129883,91.26869201660156,82.77528381347656,5.6890130043029785,74.24358367919922,248.212631225586,214.1158905029297,60.44115829467773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5000.0,41.45194625854492,66.3655014038086,7.845390796661377,92.33475494384766,84.25601959228516,5.777523040771484,74.91205596923828,250.23092651367188,214.3006286621093,61.20405960083008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5000.0,41.46133041381836,68.12699890136719,7.806230545043945,92.2378387451172,84.52275085449219,5.906575202941895,72.59679412841797,250.76190185546875,215.75244140625,61.23873519897461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5000.0,40.8009033203125,67.87550354003906,7.864972591400146,93.41696166992188,84.44916534423828,5.829687118530273,71.9935073852539,250.66455078125,215.43569946289065,61.39823913574219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5000.0,40.07255554199219,68.89749908447266,7.55167818069458,93.44119262695312,84.91822052001953,5.843283653259277,72.01797485351562,250.7708435058593,215.7260284423828,61.28726196289063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5000.0,40.16624450683594,70.10250091552734,7.603896141052246,93.94190216064452,86.50932312011719,6.015851020812988,71.52069091796875,253.67417907714844,218.6208038330078,61.72418594360352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5000.0,39.33486557006836,70.88400268554688,7.436703205108643,93.84500885009766,86.38058471679688,6.102876663208008,70.81143951416016,251.9922790527344,217.68814086914065,61.03759002685547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5000.0,39.1030158996582,71.89099884033203,7.396577835083008,92.96468353271484,85.29531860351562,6.000770092010498,70.8847885131836,249.40757751464844,208.2207794189453,60.18455505371094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5000.0,39.21074295043945,72.54450225830078,7.336386203765869,93.41696166992188,87.38309478759766,6.076918125152588,70.38751220703125,249.531478881836,208.3351593017578,60.545204162597656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5000.0,39.2927131652832,69.5,7.302947998046875,94.38610076904295,86.69329071044922,5.94588565826416,69.98802947998047,249.2482147216797,206.96255493164065,61.77275848388672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5000.0,37.58779144287109,71.49749755859375,7.162509918212891,92.29438018798828,84.41239166259766,5.773318290710449,68.68366241455078,243.82215881347656,204.02378845214844,58.62410736083984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5000.0,36.6486930847168,69.5,6.8481879234313965,87.86863708496094,80.93584442138672,5.283308506011963,66.08305358886719,233.6248779296875,193.5885467529297,55.28823471069336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5000.0,38.1802978515625,72.14199829101562,7.195947170257568,90.54183197021484,83.99849700927734,5.577017307281494,67.15916442871094,238.2278747558593,198.12869262695312,54.33810806274414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5000.0,37.36298370361328,70.83899688720703,7.195947170257568,91.15564727783205,82.41658020019531,5.6566267013549805,66.71894836425781,236.9354705810547,198.6918334960937,53.3602294921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5000.0,36.33486175537109,67.5250015258789,6.975252628326416,87.1256332397461,78.18583679199219,5.37775182723999,65.39823913574219,228.0482940673828,190.4561767578125,52.75683975219727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5000.0,36.7792854309082,66.9800033569336,7.042130947113037,88.87007141113281,81.10136413574219,5.73771858215332,65.15367889404297,231.47393798828125,194.41563415527344,53.09313583374024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
