wall_time,step,value
1765756424.4084833,3200,-1.462713599205017
1765756439.8049736,6400,-1.5035367012023926
1765756455.0802653,9600,-1.578134298324585
1765756470.670173,12800,-1.6619818210601807
1765756486.3169374,16000,-1.6765378713607788
1765756502.0857008,19200,-1.759971261024475
1765756517.9570127,22400,-1.7761057615280151
1765756534.0234563,25600,-1.852107048034668
1765756550.2624874,28800,-1.9095252752304077
1765756566.5534766,32000,-1.967071533203125
1765756582.9169567,35200,-2.004239320755005
1765756599.6121204,38400,-2.067215919494629
1765756616.1262236,41600,-2.0959110260009766
1765756632.8850737,44800,-2.1643431186676025
1765756652.5683198,48000,-2.223989248275757
1765756667.7483075,51200,-2.273397922515869
1765756683.244923,54400,-2.3375351428985596
1765756698.9971924,57600,-2.3837828636169434
1765756714.8154733,60800,-2.4052693843841553
1765756730.5442297,64000,-2.44848895072937
1765756746.4035242,67200,-2.528010368347168
1765756762.342067,70400,-2.5642874240875244
1765756778.4208689,73600,-2.6081504821777344
1765756794.5756943,76800,-2.6888954639434814
1765756811.0492854,80000,-2.7427070140838623
1765756827.544106,83200,-2.8069546222686768
1765756844.3274505,86400,-2.825505018234253
1765756861.4013653,89600,-2.89125919342041
1765756878.125737,92800,-2.924105644226074
1765756898.0953786,96000,-2.976226806640625
1765756913.2152305,99200,-3.030080556869507
1765756928.4990966,102400,-3.0869064331054688
1765756944.0798538,105600,-3.1317832469940186
1765756959.8419333,108800,-3.2178795337677
1765756975.7710478,112000,-3.2481038570404053
1765756991.826651,115200,-3.315315008163452
1765757007.8837585,118400,-3.3171799182891846
1765757023.991275,121600,-3.415538787841797
1765757040.167435,124800,-3.433084487915039
1765757056.5988963,128000,-3.4754364490509033
1765757073.0209603,131200,-3.5870912075042725
1765757089.6785843,134400,-3.6205785274505615
1765757106.487348,137600,-3.6656477451324463
1765757123.8538315,140800,-3.7307991981506348
1765757142.7130218,144000,-3.77484130859375
1765757157.9755993,147200,-3.831029176712036
1765757173.3540883,150400,-3.878554582595825
1765757188.799034,153600,-3.8974478244781494
1765757204.5448167,156800,-3.955963134765625
1765757220.3933449,160000,-3.980759382247925
1765757236.296491,163200,-4.071573257446289
1765757252.3600512,166400,-4.130178451538086
1765757268.6340325,169600,-4.167186260223389
1765757285.0918102,172800,-4.201678276062012
1765757301.5425384,176000,-4.275893688201904
1765757318.1990197,179200,-4.317399978637695
1765757335.2787611,182400,-4.375030517578125
1765757352.5250506,185600,-4.4322075843811035
1765757373.3884134,188800,-4.45939302444458
1765757389.3335595,192000,-4.5278167724609375
1765757405.124403,195200,-4.568521976470947
1765757420.7620363,198400,-4.626327037811279
1765757436.723886,201600,-4.71348237991333
1765757452.614896,204800,-4.770030975341797
1765757468.7643435,208000,-4.814822196960449
1765757484.9452224,211200,-4.864273548126221
1765757501.3353395,214400,-4.919495582580566
1765757517.8507273,217600,-4.965004920959473
1765757534.5011497,220800,-5.034149169921875
1765757551.140091,224000,-5.07925271987915
1765757568.0259383,227200,-5.1145734786987305
1765757584.93882,230400,-5.189547538757324
1765757601.8531992,233600,-5.258213043212891
1765757621.7188299,236800,-5.278759956359863
1765757637.223857,240000,-5.3434648513793945
1765757652.822381,243200,-5.387266159057617
1765757668.5738425,246400,-5.4511332511901855
1765757684.458591,249600,-5.501534938812256
1765757700.4747236,252800,-5.552331924438477
1765757716.505582,256000,-5.627355098724365
1765757732.702143,259200,-5.677678108215332
1765757748.9728057,262400,-5.726125717163086
1765757765.4793203,265600,-5.789880752563477
1765757782.1059613,268800,-5.815439224243164
1765757798.8597605,272000,-5.8862199783325195
1765757815.7455158,275200,-5.928741931915283
1765757833.1027937,278400,-5.998094081878662
1765757850.6382647,281600,-6.067087650299072
1765757869.4165757,284800,-6.1086931228637695
1765757885.0856092,288000,-6.139817237854004
1765757900.781202,291200,-6.208065032958984
1765757916.6813223,294400,-6.268078804016113
1765757932.8400512,297600,-6.312258243560791
1765757949.0444326,300800,-6.360859394073486
1765757965.2272532,304000,-6.432471752166748
1765757981.6690683,307200,-6.498732566833496
1765757998.1348975,310400,-6.546885967254639
