wall_time,step,value
1765756424.4084444,3200,-14.579985618591309
1765756439.8049371,6400,-15.121081352233887
1765756455.0802286,9600,-15.639352798461914
1765756470.670136,12800,-16.149272918701172
1765756486.3168993,16000,-16.738290786743164
1765756502.0856502,19200,-17.30297088623047
1765756517.9569755,22400,-17.88131332397461
1765756534.02342,25600,-18.362375259399414
1765756550.2624524,28800,-18.9609317779541
1765756566.5534382,32000,-19.453338623046875
1765756582.91692,35200,-19.96276092529297
1765756599.6120813,38400,-20.505680084228516
1765756616.1261873,41600,-21.001522064208984
1765756632.885035,44800,-21.525909423828125
1765756652.5682843,48000,-22.032535552978516
1765756667.7482715,51200,-22.565336227416992
1765756683.244875,54400,-23.07486343383789
1765756698.9971569,57600,-23.603235244750977
1765756714.8154376,60800,-24.119169235229492
1765756730.5441935,64000,-24.66059112548828
1765756746.4034877,67200,-25.240842819213867
1765756762.342032,70400,-25.809452056884766
1765756778.4208329,73600,-26.32600975036621
1765756794.5756416,76800,-26.78825569152832
1765756811.049251,80000,-27.292722702026367
1765756827.54407,83200,-27.78569984436035
1765756844.3274145,86400,-28.286251068115234
1765756861.4013302,89600,-28.757177352905273
1765756878.125701,92800,-29.23999786376953
1765756898.0953436,96000,-29.73046875
1765756913.2151947,99200,-30.250072479248047
1765756928.4990518,102400,-30.809728622436523
1765756944.0798182,105600,-31.299846649169922
1765756959.8418975,108800,-31.784896850585938
1765756975.7710104,112000,-32.28230285644531
1765756991.8266156,115200,-32.85460662841797
1765757007.8837037,118400,-33.32302474975586
1765757023.9912388,121600,-33.871009826660156
1765757040.1673987,124800,-34.398460388183594
1765757056.5988529,128000,-34.89959716796875
1765757073.0209234,131200,-35.465511322021484
1765757089.6785474,134400,-35.96924591064453
1765757106.4873116,137600,-36.52150344848633
1765757123.8537958,140800,-37.09741973876953
1765757142.7129776,144000,-37.59716796875
1765757157.9755633,147200,-38.160858154296875
1765757173.3540525,150400,-38.61388397216797
1765757188.7989984,153600,-39.047821044921875
1765757204.5447817,156800,-39.4735107421875
1765757220.3933053,160000,-39.956241607666016
1765757236.296455,163200,-40.507774353027344
1765757252.3600156,166400,-41.014373779296875
1765757268.6339965,169600,-41.50532531738281
1765757285.0917528,172800,-42.00448989868164
1765757301.5425026,176000,-42.52099609375
1765757318.1989846,179200,-43.044803619384766
1765757335.2787254,182400,-43.59480285644531
1765757352.5250156,185600,-44.13334655761719
1765757373.3883772,188800,-44.690086364746094
1765757389.3335235,192000,-45.17066192626953
1765757405.124367,195200,-45.72544860839844
1765757420.7620003,198400,-46.34565353393555
1765757436.7238426,201600,-46.89958572387695
1765757452.6148531,204800,-47.47258377075195
1765757468.7643068,208000,-48.019508361816406
1765757484.9451861,211200,-48.58456039428711
1765757501.335305,214400,-49.07004165649414
1765757517.850692,217600,-49.653968811035156
1765757534.5011137,220800,-50.146244049072266
1765757551.1400542,224000,-50.649314880371094
1765757568.0259018,227200,-51.208984375
1765757584.938785,230400,-51.74664306640625
1765757601.8531637,233600,-52.29441452026367
1765757621.7187939,236800,-52.83391571044922
1765757637.2238216,240000,-53.39703369140625
1765757652.8223445,243200,-53.893646240234375
1765757668.5738065,246400,-54.40652084350586
1765757684.4585552,249600,-54.96174621582031
1765757700.4746876,252800,-55.501495361328125
1765757716.5055454,256000,-56.055484771728516
1765757732.702108,259200,-56.62149429321289
1765757748.9727714,262400,-57.164302825927734
1765757765.4792862,265600,-57.724632263183594
1765757782.1059253,268800,-58.23724365234375
1765757798.8597243,272000,-58.74816131591797
1765757815.7454813,275200,-59.26687240600586
1765757833.1027584,278400,-59.762691497802734
1765757850.6382287,281600,-60.33306884765625
1765757869.4165409,284800,-60.92526626586914
1765757885.0855742,288000,-61.49064636230469
1765757900.781163,291200,-62.065731048583984
1765757916.681287,294400,-62.628875732421875
1765757932.8400166,297600,-63.141082763671875
1765757949.044395,300800,-63.68034362792969
1765757965.2272172,304000,-64.20626068115234
1765757981.6690328,307200,-64.73291015625
1765757998.1348543,310400,-65.3029556274414
1765758014.701568,313600,-65.82484436035156
1765758031.2966144,316800,-66.29183197021484
1765758048.1323419,320000,-66.76278686523438
1765758064.9945855,323200,-67.31864929199219
1765758082.1203861,326400,-67.826171875
1765758102.2345173,329600,-68.39224243164062
1765758117.7459266,332800,-68.8937759399414
1765758133.2442656,336000,-69.42343139648438
1765758148.9715111,339200,-69.92384338378906
1765758164.8530636,342400,-70.50341796875
1765758180.8355415,345600,-71.01945495605469
1765758196.8104186,348800,-71.49568939208984
1765758213.051097,352000,-71.98399353027344
1765758229.554702,355200,-72.52063751220703
1765758246.1489978,358400,-73.04569244384766
1765758262.8827991,361600,-73.61054992675781
1765758279.5843267,364800,-74.0916748046875
1765758296.6044624,368000,-74.63485717773438
1765758313.7197495,371200,-75.14825439453125
1765758330.9996965,374400,-75.67937469482422
1765758350.8699687,377600,-76.24842834472656
1765758366.408064,380800,-76.75340270996094
1765758382.0537043,384000,-77.3268051147461
1765758397.9589744,387200,-77.8405990600586
1765758413.7806523,390400,-78.3280029296875
1765758429.6274145,393600,-78.82460021972656
1765758445.8049824,396800,-79.34742736816406
1765758462.1158013,400000,-79.94795989990234
1765758478.6665049,403200,-80.49945831298828
1765758495.2339268,406400,-81.0194320678711
1765758511.980373,409600,-81.5502700805664
1765758528.8235598,412800,-82.05980682373047
1765758545.8570712,416000,-82.58740234375
1765758562.8890996,419200,-83.12278747558594
1765758584.3497705,422400,-83.6534423828125
1765758599.9057531,425600,-84.14847564697266
1765758615.5352805,428800,-84.6973876953125
1765758631.372381,432000,-85.26876068115234
1765758647.2261972,435200,-85.74100494384766
1765758663.2352288,438400,-86.24992370605469
1765758679.335444,441600,-86.82484436035156
1765758695.5762887,444800,-87.30421447753906
1765758711.9331827,448000,-87.88645935058594
1765758728.3832848,451200,-88.46701049804688
1765758744.8742487,454400,-89.02838134765625
1765758761.5449226,457600,-89.47990417480469
1765758778.3753088,460800,-89.9866943359375
1765758795.490044,464000,-90.4946517944336
1765758812.4037857,467200,-91.04627990722656
1765758832.9984992,470400,-91.6024169921875
1765758848.580024,473600,-92.166259765625
1765758864.2315345,476800,-92.67245483398438
1765758879.7856195,480000,-93.20175170898438
1765758895.6418478,483200,-93.72791290283203
1765758911.6325579,486400,-94.1821517944336
1765758927.6415265,489600,-94.66130065917969
1765758943.9110043,492800,-95.1331787109375
1765758960.1209216,496000,-95.6458740234375
1765758976.5986586,499200,-96.18070220947266
1765758993.242522,502400,-96.66581726074219
1765759009.922982,505600,-97.21741485595703
1765759026.6496775,508800,-97.69277954101562
1765759043.4424872,512000,-98.18121337890625
1765759060.542732,515200,-98.72305297851562
1765759080.5747814,518400,-99.28007507324219
1765759095.7541635,521600,-99.85830688476562
1765759111.0730927,524800,-100.3600082397461
1765759126.4999118,528000,-100.77297973632812
1765759142.0650678,531200,-101.26165008544922
1765759157.8504102,534400,-101.75541687011719
1765759173.9464128,537600,-102.24607849121094
1765759189.877166,540800,-102.78346252441406
1765759205.944334,544000,-103.33914184570312
1765759222.1397953,547200,-103.82614135742188
1765759238.4800808,550400,-104.40328979492188
1765759255.2345529,553600,-104.88578796386719
1765759271.8322017,556800,-105.40542602539062
1765759288.4364948,560000,-105.91793060302734
1765759308.7693143,563200,-106.41940307617188
1765759323.9437897,566400,-106.92633819580078
1765759339.2804415,569600,-107.44512176513672
1765759354.6739287,572800,-107.91931915283203
1765759370.095,576000,-108.39995574951172
1765759385.8722572,579200,-108.91266632080078
1765759401.6619127,582400,-109.43040466308594
1765759418.0281615,585600,-109.9439697265625
1765759434.200345,588800,-110.456298828125
1765759450.457321,592000,-110.95636749267578
1765759467.0167072,595200,-111.42311096191406
1765759483.652156,598400,-111.95465087890625
1765759500.2839575,601600,-112.46586608886719
1765759517.162576,604800,-113.0151596069336
1765759533.9143705,608000,-113.59227752685547
1765759553.883241,611200,-114.13336181640625
1765759569.1894758,614400,-114.66219329833984
1765759584.4257777,617600,-115.25617980957031
1765759599.8908734,620800,-115.85739135742188
1765759615.6588638,624000,-116.377197265625
1765759631.466273,627200,-116.92095184326172
1765759647.2633471,630400,-117.46015167236328
1765759663.5507934,633600,-118.02581787109375
1765759680.2711005,636800,-118.59965515136719
1765759696.8325667,640000,-119.1594009399414
1765759713.304808,643200,-119.63213348388672
1765759729.832875,646400,-120.1397476196289
1765759746.4271295,649600,-120.71871948242188
1765759763.2417696,652800,-121.26826477050781
1765759780.8055668,656000,-121.81761169433594
1765759799.6259403,659200,-122.32740783691406
1765759814.8798413,662400,-122.89328002929688
1765759830.296638,665600,-123.50135803222656
1765759845.9404197,668800,-124.06886291503906
1765759861.771356,672000,-124.63706970214844
1765759877.6297812,675200,-125.20153045654297
