Date,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume
,AAPL,AMZN,F,GOOG,JPM,MSFT,NVDA,PG,SPY,UNH,XOM,AAPL,AMZN,F,GOOG,JPM,MSFT,NVDA,PG,SPY,UNH,XOM,AAPL,AMZN,F,GOOG,JPM,MSFT,NVDA,PG,SPY,UNH,XOM,AAPL,AMZN,F,GOOG,JPM,MSFT,NVDA,PG,SPY,UNH,XOM,AAPL,AMZN,F,GOOG,JPM,MSFT,NVDA,PG,SPY,UNH,XOM
1975-01-02,,,0.12466280162334442,,,,,0.60163813829422,,,0.21213676035404205,,,0.12466280162334442,,,,,0.607124087713579,,,0.2129372273868613,,,0.12328278622826207,,,,,0.60163813829422,,,0.20813413203227044,,,0.12328278622826207,,,,,0.60163813829422,,,0.20813413203227044,,,582610,,,,,2662400,,,1276800
1975-01-03,,,0.12650282680988312,,,,,0.5934090614318848,,,0.2153390347957611,,,0.12650282680988312,,,,,0.6052956980737362,,,0.21694006814844588,,,0.12420279237897189,,,,,0.592494773452808,,,0.21173663646272978,,,0.12466278844649019,,,,,0.6016383229289658,,,0.2121369680903916,,,1350176,,,,,1836800,,,1747200
1975-01-06,,,0.12972284853458405,,,,,0.5934090614318848,,,0.21213676035404205,,,0.13064286758603544,,,,,0.6034668988871192,,,0.21774032274145214,,,0.12742281442928355,,,,,0.592494773452808,,,0.21213676035404205,,,0.12742281442928355,,,,,0.5934090614318848,,,0.2153388239237693,,,1125146,,,,,1116800,,,2476800
1975-01-07,,,0.1283428817987442,,,,,0.5906654596328735,,,0.2141381800174713,,,0.1292628876732277,,,,,0.597980200784809,,,0.21613944676136373,,,0.12696285270201932,,,,,0.5888366627307975,,,0.21133634794444456,,,0.1292628876732277,,,,,0.5934083201437109,,,0.21213691327357886,,,1029586,,,,,985600,,,1484800
1975-01-08,,,0.12788289785385132,,,,,0.5815221667289734,,,0.2129373848438263,,,0.12926291370516102,,,,,0.5961516552001425,,,0.21533898315660088,,,0.1269628782707543,,,,,0.5815221667289734,,,0.21293738484382632,,,0.12834290764539982,,,,,0.5906657086375934,,,0.2141381840002136,,,1732417,,,,,1184000,,,1641600
1975-01-09,,,0.13432298600673676,,,,,0.5851798057556152,,,0.2153390347957611,,,0.13432298600673676,,,,,0.5870086042627918,,,0.2153390347957611,,,0.12742288013290334,,,,,0.5742076843976974,,,0.20973536920170402,,,0.1278828898958259,,,,,0.5815224319696427,,,0.21293743590707354,,,1233037,,,,,1155200,,,1347200
1975-01-10,,,0.13524287939071655,,,,,0.5988951325416565,,,0.220942422747612,,,0.13662289386900126,,,,,0.6034667948775622,,,0.220942422747612,,,0.1343228607229785,,,,,0.5924946713343338,,,0.2173401250674069,,,0.1343228607229785,,,,,0.5924946713343338,,,0.2173401250674069,,,1122064,,,,,1049600,,,3440000
1975-01-13,,,0.13432298600673676,,,,,0.5979806184768677,,,0.21974171698093414,,,0.13662302129801454,,,,,0.6062096522137647,,,0.2233441139000805,,,0.13432298600673676,,,,,0.596151820297368,,,0.21974171698093414,,,0.13524300553258187,,,,,0.5988949059524472,,,0.22094251595398293,,,1732417,,,,,787200,,,1734400
1975-01-14,,,0.13340285420417786,,,,,0.5979806184768677,,,0.2201419472694397,,,0.13478286866824493,,,,,0.6089527378688437,,,0.22174297925787476,,,0.13156281688765878,,,,,0.596151820297368,,,0.2181405839944677,,,0.13432285933911517,,,,,0.5979806184768677,,,0.21974161598290276,,,1778656,,,,,2601600,,,1609600
